n,x,s,p,n_next,x_next,s_next,p_next,count,count_smoothed,prob
1,2,-3,1,2,3,3,1,0,1,0.023809523809523808
1,2,-2,-1,2,1,-3,-1,0,1,0.0625
1,2,-2,-1,2,1,-3,1,0,1,0.0625
1,2,-2,-1,2,1,-2,-1,0,1,0.0625
1,2,-2,-1,2,1,-2,1,3,4,0.25
1,2,-2,-1,2,2,-3,-1,0,1,0.0625
1,2,-2,-1,2,2,-3,1,0,1,0.0625
1,2,-2,-1,2,2,-2,-1,0,1,0.0625
1,2,-2,-1,2,2,-2,1,0,1,0.0625
1,2,-2,-1,2,3,-3,-1,0,1,0.0625
1,2,-2,-1,2,3,-3,1,0,1,0.0625
1,2,-2,-1,2,3,-2,-1,0,1,0.0625
1,2,-2,-1,2,3,-2,1,1,2,0.125
1,2,-2,1,2,1,-2,-1,0,1,0.023255813953488372
1,2,-2,1,2,1,-2,1,3,4,0.09302325581395349
1,2,-2,1,2,1,-1,-1,0,1,0.023255813953488372
1,2,-2,1,2,1,-1,1,0,1,0.023255813953488372
1,2,-2,1,2,1,0,-1,0,1,0.023255813953488372
1,2,-2,1,2,1,0,1,0,1,0.023255813953488372
1,2,-2,1,2,1,1,-1,0,1,0.023255813953488372
1,2,-2,1,2,1,1,1,0,1,0.023255813953488372
1,2,-2,1,2,1,2,-1,0,1,0.023255813953488372
1,2,-2,1,2,1,2,1,0,1,0.023255813953488372
1,2,-2,1,2,1,3,-1,0,1,0.023255813953488372
1,2,-2,1,2,1,3,1,0,1,0.023255813953488372
1,2,-2,1,2,2,-2,-1,0,1,0.023255813953488372
1,2,-2,1,2,2,-2,1,0,1,0.023255813953488372
1,2,-2,1,2,2,-1,-1,0,1,0.023255813953488372
1,2,-2,1,2,2,-1,1,0,1,0.023255813953488372
1,2,-2,1,2,2,0,-1,0,1,0.023255813953488372
1,2,-2,1,2,2,0,1,0,1,0.023255813953488372
1,2,-2,1,2,2,1,-1,0,1,0.023255813953488372
1,2,-2,1,2,2,1,1,0,1,0.023255813953488372
1,2,-2,1,2,2,2,-1,0,1,0.023255813953488372
1,2,-2,1,2,2,2,1,0,1,0.023255813953488372
1,2,-2,1,2,2,3,-1,0,1,0.023255813953488372
1,2,-2,1,2,2,3,1,0,1,0.023255813953488372
1,2,-2,1,2,3,-2,-1,4,5,0.11627906976744186
1,2,-2,1,2,3,-2,1,0,1,0.023255813953488372
1,2,-2,1,2,3,-1,-1,0,1,0.023255813953488372
1,2,-2,1,2,3,-1,1,0,1,0.023255813953488372
1,2,-2,1,2,3,0,-1,0,1,0.023255813953488372
1,2,-2,1,2,3,0,1,0,1,0.023255813953488372
1,2,-2,1,2,3,1,-1,0,1,0.023255813953488372
1,2,-2,1,2,3,1,1,0,1,0.023255813953488372
1,2,-2,1,2,3,2,-1,0,1,0.023255813953488372
1,2,-2,1,2,3,2,1,0,1,0.023255813953488372
1,2,-2,1,2,3,3,-1,0,1,0.023255813953488372
1,2,-2,1,2,3,3,1,0,1,0.023255813953488372
1,2,-1,-1,2,1,-3,-1,0,1,0.05263157894736842
1,2,-1,-1,2,1,-3,1,0,1,0.05263157894736842
1,2,-1,-1,2,1,-2,-1,0,1,0.05263157894736842
1,2,-1,-1,2,1,-2,1,0,1,0.05263157894736842
1,2,-1,-1,2,1,-1,-1,0,1,0.05263157894736842
